title,img,writer,price,uri
ΜΙΚΡΟ ΒΙΒΛΙΟ ΠΟΙΗΜΑΤΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/199116--xlbook-sideri_mihali.jpg,ΚΡΑΣΣΑ ΚΑΛΛΗ,"5,60 €|7,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/mikro-vivlio-piimaton.html
ΤΟ ΝΗΣΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198826--xlbook-gkovostis.jpg,ΣΚΑΡΤΣΗΣ ΣΩΚΡΑΤΗΣ,"10,61 €|14,14 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-nisi-5.html
ΣΤΗ ΧΛΟΗ ΒΑΘΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198828--xlbook-anatolikos.jpg,ΜΑΡΚΑΝΤΩΝΑΤΟΥ ΜΑΡΙΑ,"6,02 €|8,03 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/sti-hloi-vathia.html
ΙΣΟΠΑΛΟ ΤΡΑΥΜΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198943--xlbook-kedros.jpg,ΣΤΙΓΚΑΣ ΓΙΑΝΝΗΣ,"6,75 €|9,64 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/isopalo-traima.html
ΤΟ ΔΕΝΤΡΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198972--xlbook-gavriilidis.jpg,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΩΡΑ,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-dentro-6.html
Η ΕΛΕΥΘΕΡΙΑ ΠΛΑΓΙΑΖΕΙ ΣΕ ΜΑΥΡΟ ΓΡΑΦΕΙΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/199042--xlbook-armos.jpg,ΛΙΒΕΡΙΑΔΗΣ ΘΕΜΗΣ,"11,30 €|15,07 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-eleftheria-plagiazi-se-mairo-grafio.html
ΕΝ ΠΛΩ ΚΑΙ ΑΚΥΒΕΡΝΗΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198718--xlbook-armos.jpg,ΣΤΡΙΓΓΑΡΗ ΕΛΕΝΗ,"7,61 €|10,15 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/en-plo-ke-akivernita.html
ΡΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198306--xlbook-agra.jpg,ΜΠΟΥΚΑΛΑΣ ΠΑΝΤΕΛΗΣ,"8,33 €|11,11 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/rimata-1.html
ΟΝΕΙΡΑΚΑΤΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198383--xlbook-farfoilas.jpg,ΠΑΠΑΖΟΓΛΟΥ ΕΛΕΝΗ,"4,57 €|6,09 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/onirakatos.html
ΑΘΗΝΑ ΣΕ ΘΟΛΟ ΠΟΤΑΜΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198488--xlbook-agkira.jpg,ΜΑΡΔΑΣ ΚΩΣΤΑΣ,"2,79 €|3,99 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/athina-se-tholo-potami.html
ΣΤΟΥ ΤΡΑΓΟΥΔΙΟΥ ΤΗ ΚΟΨΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198259--xlbook-gavriilidis.jpg,ΤΣΕΡΕΣ ΔΗΜΗΤΡΗΣ,"5,22 €|6,96 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/stu-tragudiu-ti-kopsi.html
ΤΑ ΣΤΟΙΧΕΙΩΔΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198261--xlbook-gavriilidis.jpg,ΛΟΙΖΙΔΗΣ ΒΑΚΗΣ,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ta-stihiodi.html
ΑΠΕΝΑΝΤΙ ΣΤΗΝ ΟΜΟΡΦΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198255--xlbook-gavriilidis.jpg,ΚΟΥΤΗΣ ΑΝΤΩΝΗΣ,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/apenanti-stin-omorfia.html
ΜΙΑ ΣΤΑΛΙΑ ΚΑΤΡΑΜΙ Σ'ΕΝΑ ΒΑΡΕΛΙ ΜΕΛΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198256--xlbook-gavriilidis.jpg,ΑΡΒΑΝΙΤΗΣ ΠΑΝΑΓΙΩΤΗΣ,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/mia-stalia-katrami-sena-vareli-meli.html
ΤΑ ΧΙΛΙΑ ΦΥΛΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197872--xlbook-kedros.jpg,ΠΑΜΠΟΥΔΗ ΠΑΥΛΙΝΑ,"8,53 €|12,18 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ta-hilia-filla.html
ΕΙΣΠΝΟΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197725--xlbook-ikaros.jpg,ΑΝΤΙΟΧΟΣ ΓΙΑΝΝΗΣ,"7,54 €|10,05 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ispnoes.html
ΚΡΑΥΓΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197735--xlbook-iolkos.jpg,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΧΑΡΗΣ,"4,48 €|5,97 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/kraiges.html
ΞΙΦΑΣΚΙΕΣ ΔΙΑΛΙΣΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197790--xlbook-iolkos.jpg,ΤΑΥΛΑΡΙΟΥ-ΠΟΥΡΝΑΡΟΠΟΥΛΟΥ ΜΑΡΓΑΡΙΤΑ,"6,72 €|8,96 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/xifaskies-dialismu.html
ΣΗΜΑΔΕΥΩ ΤΑ ΣΗΜΑΔΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197791--xlbook-iolkos.jpg,ΠΑΠΑΕΥΑΓΓΕΛΟΥ ΧΡΥΣΟΥΛΑ,"5,97 €|7,96 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/simadefo-ta-simadia.html
ΟΤΑΝ ΜΙΛΩ ΓΙΑ ΤΗΝ ΕΛΛΑΔΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197719--xlbook-dodoni.jpg,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ,"10,18 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/otan-milo-gia-tin-ellada.html
Η ΠΡΟΦΗΤΕΙΑ ΤΟΥ ΑΝΕΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197720--xlbook-dodoni.jpg,ΞΗΡΟΓΙΑΝΝΗ ΑΣΗΜΙΝΑ,"6,78 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-profitia-tu-anemu.html
ΕΛΛΗΝΙΚΕΣ ΕΛΕΓΕΙΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197559--xlbook-ekati.jpg,ΣΚΙΡΝΤΑ ΛΟΥΝΤΜΙΛΑ,"7,88 €|10,50 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/ellinikes-elegies.html
ΠΟΙΗΜΑΤΑ ΠΟΥ ΑΓΑΠΗΣΑΤΕ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197560--xlbook-ekati.jpg,,"11,81 €|15,75 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/piimata-pu-agapisate.html
ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197561--xlbook-ekati.jpg,ΜΑΤΣΑΔΟ ΑΝΤΟΝΙΟ,"6,36 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/piimata-102.html
ΣΠΟΡΑ ΣΤΟΝ ΑΝΕΜΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197876--xlbook-oionos.jpg,ΚΟΥΝΤΟΥΡΗ ΝΑΝΑ,"9,14 €|12,18 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/spora-ston-anemo.html
ΜΙΑ ΣΤΙΓΜΗ...ΕΚΕΙ ΕΞΩ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198572--xlbook-sokoli-koiledaki.jpg,ΜΥΡΜΙΓΓΙΔΗΣ ΠΑΝΟΣ,"4,77 €|6,36 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/mia-stigmieki-exo.html
ΤΑΝΚΟ ΣΤΑ ΘΡΥΨΑΛΑ ΜΙΑΣ ΑΓΑΠΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197656--xlbook-dodoni.jpg,ΕΥΗ ΚΑΦΟΥΡΟΥ,"6,72 €|8,40 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/tanko-sta-thripsala-mias-agapis.html
ΔΥΟ ΕΡΓΑ ΠΟΙΗΤΙΚΟΥ ΘΕΑΤΡΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197657--xlbook-dodoni.jpg,ΧΡΗΣΤΟΣ ΒΡΕΤΤΟΣ,"6,72 €|8,40 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dio-erga-piitiku-theatru.html
ΔΑΝΕΙΚΕΣ ΑΝΑΣΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197610--xlbook-gavriilidis.jpg,ΕΙΡΗΝΗ ΠΑΠΠΑ,"5,58 €|7,44 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/danikes-anases.html
Ο ΠΟΙΗΤΗΣ ΓΙΩΡΓΟΣ ΚΑΡΤΕΡ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197740--xlbook-gavriilidis.jpg,,"6,30 €|8,40 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/o-piitis-giorgos-karter.html
ΟΙ ΕΝΑΠΟΜΕΙΝΑΝΤΕΣ ΤΗΣ ΑΘΩΟΤΗΤΑΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197744--xlbook-gavriilidis.jpg,ΣΕΡΜΑΚΗΣ ΓΙΑΝΝΗΣ,"5,51 €|7,35 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-enapominantes-tis-athootitas.html
ΑΥΤΑ ΠΟΥ ΕΠΙΜΕΝΟΥΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197408--xlbook-melani.jpg,ΚΑΡΑΒΙΤΗ ΝΤΙΝΑ,"7,61 €|10,15 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/aita-pu-epimenun.html
ΡΙΝΙΣΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197431--xlbook-vergina.jpg,ΒΑΡΒΕΡΗΣ ΚΩΣΤΑΣ,"5,67 €|7,09 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/rinismata.html
ΜΕ ΠΡΑΣΙΝΟ ΤΟΥ ΧΑΛΚΟΥ ΣΤΑ ΧΕΙΛΗ ΚΑΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197337--xlbook-ipsilon.jpg,ΚΟΥΓΕΑΣ ΒΑΣΙΛΗΣ,"8,11 €|10,14 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/me-prasino-tu-halku-sta-hili-ke.html
ΚΑΤΑΡΟΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197432--xlbook-vergina.jpg,ΒΑΡΒΕΡΗΣ ΚΩΣΤΑΣ,"5,67 €|7,09 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/kataroi.html
ΩΔΙΚΑ ΠΤΗΝΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197315--xlbook-tipothito.jpg,ΠΑΠΑΛΕΞΑΝΔΡΟΥ ΑΡΙΣΤΕΑ,"5,98 €|7,97 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/odika-ptina.html
ΚΙΝΝΑΒΑΡΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197693--xlbook-agra.jpg,ΜΑΡΚΙΔΗΣ ΧΡΗΣΤΟΣ,"6,09 €|8,12 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/kinnavari.html
ΑΝΑΠΟΔΟ ΜΝΗΜΟΝΙΚΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197342--xlbook-gavriilidis.jpg,ΣΑΜΑΡΑ ΛΕΝΑ,"5,51 €|7,35 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/anapodo-mnimoniko.html
ΕΝΤΑΛΜΑ ΣΥΛΛΗΨΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197343--xlbook-gavriilidis.jpg,ΒΑΣΙΛΕΙΑΔΟΥ ΚΑΤΕΡΙΝΑ,"5,51 €|7,35 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/entalma-sillipsis.html
ΑΒΛΑΒΗΣ ΔΙΕΥΛΕΥΣΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197225--xlbook-nefeli.jpg,ΚΑΡΔΑΤΟΥ ΜΑΡΙΑ,"6,84 €|9,12 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/avlavis-dieflefsi.html
ΤΕΝΤΑ ΣΤΟΝ ΑΕΡΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197224--xlbook-to_rodakio.jpg,ΜΠΡΟΥΝΙΑΣ ΓΙΩΡΓΟΣ,"12,72 €|16,96 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/tenta-ston-aera.html
ΔΙΑΚΟΠΕΣ ΣΤΗΝ ΠΡΑΓΜΑΤΙΚΟΤΗΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197088--xlbook-patakis.jpg,ΒΛΑΒΙΑΝΟΣ ΧΑΡΗΣ,"8,18 €|11,68 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/diakopes-stin-pragmatikotita.html
ΤΑΞΙΔΙΑ ΕΣΩΤΕΡΙΚΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197083--xlbook-metaihmio.jpg,ΚΑΡΑΤΖΑΣ ΔΙΟΝΥΣΗΣ,"5,10 €|7,09 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/taxidia-esoteriku.html
ΔΙΑΛΟΓΟΙ ΑΠΟ ΤΙΣ ΔΥΟ ΑΚΡΕΣ ΤΟΥ ΓΚΡΕΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197258--xlbook-sideri_mihali.jpg,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΒΡΑΑΜ,"8,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/dialogi-apo-tis-dio-akres-tu-gremu.html
ΗΔΟΝΗ ΚΑΙ ΕΞΟΥΣΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/198051--xlbook-metaihmio.jpg,ΜΠΑΚΟΝΙΚΑ ΑΛΕΞΑΝΔΡΑ,"5,10 €|7,09 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/idoni-ke-exusia.html
ΓΗ ΛΑΛΕΟΥΣΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196879--xlbook-zaharopoilos_s_i.jpg,ΠΟΛΥΚΡΑΤΗΣ ΓΕΩΡΓΙΟΣ,"9,54 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/gi-laleusa.html
ΤΟ ΑΠΟΛΥΤΟ ΜΗΔΕΝ ΤΟΥ ΣΙΣΥΦΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196880--xlbook-zaharopoilos_s_i.jpg,ΒΟΥΛΓΑΡΑΚΗΣ ΓΙΩΡΓΟΣ ΔΗΜ.,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-apolito-miden-tu-sisifu.html
ΠΕΡΙΠΛΟΥΣ ΤΗΣ ΑΥΤΑΠΑΤΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/197127--xlbook-dioni.jpg,ΚΩΣΤΑΓΙΟΛΑΣ ΣΠΥΡΟΣ,"7,46 €|9,95 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/periplus-tis-aitapatis.html
MEXICO CITY BLUES,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196822--xlbook-iridanos.jpg,ΚΕΡΟΥΑΚ ΤΖΑΚ,"18,29 €|24,38 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/mexico-city-blues-2.html
ΤΟ ΘΡΟΙΣΜΑ ΤΟΥ ΜΕΓΑΛΟΥ ΔΡΥΓΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196598--xlbook-iolkos.jpg,ΔΗΜΗΤΡΑΚΑΚΗ ΧΡΥΣΟΥΛΑ,"15,22 €|20,30 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-thrisma-tu-megalu-drigia.html
ΠΟΙΗΜΑΤΑ ΗΛΙΑΣ ΛΑΓΙΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196604--xlbook-ikaros.jpg,ΛΑΓΙΟΣ ΗΛΙΑΣ,"26,62 €|35,49 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/piimata-ilias-lagios.html
ΧΕΙΜΩΝΑΣ ΣΤΗ ΛΕΡΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196636--xlbook-melani.jpg,ΚΑΡΑΓΙΩΡΓΑ ΟΛΥΜΠΙΑ,"6,47 €|8,62 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/himonas-sti-lero.html
ΑΚΑΘΙΣΤΟΣ ΔΕΙΠΝΟΣ (ΕΠΑΝΕΚΔΟΣΗ),https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196567--xlbook-kastaniotis.jpg,ΓΚΑΝΑΣ ΜΙΧΑΛΗΣ,"7,42 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/akathistos-dipnos--epanekdosi.html
ΤΑ ΑΝΘΗ ΤΟΥ ΚΑΚΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/2/2/224288--xlbook-grammata.jpg,ΜΠΩΝΤΛΕΡ ΤΣΑΡΛΣ,"10,95 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/ta-anthi-tu-kaku-5.html
ΔΕΝ ΕΙΝΑΙ ΤΙΠΟΤΑ ΚΑΙ ΑΛΛΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196631--xlbook-tipothito.jpg,ΡΟΥΜΕΛΙΩΤΑΚΗΣ ΧΡΙΣΤΟΣ,"6,08 €|8,11 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/den-ine-tipota-ke-alla-piimata.html
Η ΕΡΗΜΗ ΧΩΡΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/e/b/eb1e06676a31e3d608f301b4.jpg,ELIOT THOMAS-STEARNS/ ΕΛΙΟΤ ΤΟΜΑΣ-ΣΤΕΡΝΣ,"11,35 €|15,14 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/i-erimi-chora-html.html
ΜΙΑ ΜΟΥΣΙΚΗ ΓΙΑ ΤΗΝ ΑΒΥΣΣΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196671--xlbook-iridanos.jpg,ΔΕΛΗΟΛΑΝΗΣ ΓΙΑΝΝΗΣ,"7,95 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/mia-musiki-gia-tin-avisso.html
ΦΕΡΝΑΝΤΟ ΠΕΣΣΟΑ Κ.Π. ΚΑΒΑΦΗΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196923--xlbook-metaihmio.jpg,ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΑΒΑΦΗΣ,"3,58 €|4,97 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/fernanto-pessoa-kp-kavafis.html
ΠΟΥ ΝΑ ΖΗΤΗΣΩ ΣΥΓΓΝΩΜΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196926--xlbook-ellinika_grammata.jpg,ΛΟΥΑΝ ΤΖΟΥΛΙΣ,"8,63 €|11,51 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/pu-na-zitiso-signomi.html
ΚΩΣΤΑΣ ΚΑΡΥΩΤΑΚΗΣ ΜΑΡΙΑ ΠΟΛΥΔΟΥΡΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196927--xlbook-metaihmio.jpg,ΚΑΡΥΩΤΑΚΗΣ ΚΩΣΤΑΣ,"9,49 €|13,18 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/kostas-kariotakis-maria-poliduri.html
ΠΕΝΤΕ ΕΛΛΗΝΙΚΑ ΚΑΙ ΑΛΛΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196932--xlbook-ekati.jpg,ΡΟΜΠΕΡΤΟ ΦΕΡΝΑΝΤΕΖ ΡΑΤΑΜΑΡ,"6,30 €|8,40 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/pente-ellinika-ke-alla-piimata.html
ΤΟ ΚΟΚΚΙΝΟ ΒΙΒΛΙΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196946--xlbook-alexandreia.jpg,ΠΑΛΑΖΗΣ ΔΗΜΗΤΡΗΣ,"7,08 €|9,44 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-kokkino-vivlio-3.html
ΕΚ ΤΟΥ ΦΥΣΙΚΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196620--xlbook-agra.jpg,ΖΕΜΠΑΛΝΤ,"9,89 €|13,19 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/ek-tu-fisiku.html
ΞΕΝΕΣ ΓΛΩΣΣΕΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196583--xlbook-gavriilidis.jpg,ΜΠΑΚΑΟΥΡΗ ΕΛΕΝΗ,"5,57 €|7,42 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/xenes-glosses.html
ΕΝΑ ΜΠΟΥΚΕΤΟ ΨΑΡΟΚΟΚΑΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/1/9/196582--xlbook-gavriilidis.jpg,ΚΟΡΝΕΤΗ ΕΛΣΑ,"5,28 €|7,04 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ena-buketo-psarokokala.html
