title,img,writer,price,uri
ΑΛΛΑΓΗ ΒΑΡΟΥΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3717.jpg,ΤΣΑΠΑΚΗΣ ΝΙΚΟΛΑΟΣ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/allagi-baroys.html
ΕΡΩΤΙΚΑ ΠΟΙΗΤΙΚΑ ΑΝΑΛΕΚΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3713_1.jpg,ΤΣΙΟΡΜΠΑΤΖΗΣ ΔΑΝΙΗΛ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/erotika-poiitika-analekta.html
ΤΟ ΧΑΟΣ ΕΙΠΕ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6659_1.png,ΖΑΧΑΡΑΤΟΥ ΣΟΝΙΑ,"9,90 €|11,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-chaos-eipe.html
ΚΥΚΛΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6660.png,ΕΥΘΥΜΙΑΔΗΣ ΝΙΚΟΣ,"7,20 €|8,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/kyklos-html.html
ΕΓΡΑΨΕ ΚΑΙ ΑΥΤΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3643.jpg,ΑΝΤΩΝΑΤΟΣ ΝΙΚΟΣ,"11,45 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/egrapse-kai-aytos.html
ΑΓΑΠΗΜΕΝΕ ΜΟΥ ΠΑΤΕΡΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3644.jpg,ΜΕΖΙΤΗ ΜΑΝΙΑ,"4,77 €|5,30 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/agapimene-moy-patera.html
ΧΑΣΜΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3640.jpg,ΒΟΡΒΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,"9,00 €|10,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/chasma.html
Ο ΜΕΓΑΛΟΣ ΜΑΚΑΒΡΙΟΣ ΧΟΡΟΣ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3625.jpg,-,"15,30 €|17,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/o-megalos-makabrios-choros.html
ΕΠΟΧΙΚΗ ΧΛΩΡΙΔΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6572_1.png,ΧΡΗΣΤΙΔΟΥ ΦΩΤΕΙΝΗ,"10,80 €|12,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/epochiki-chlorida.html
ΟΙ ΘΑΜΩΝΕΣ ΕΙΝΑΙ ΠΙΑ ΚΑΤΟΙΚΟΙ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6574.png,ΚΟΤΣΕΛΙΔΟΥ ΜΑΙΡΗ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/oi-thamones-einai-pia-katoikoi.html
ΦΥΣΗ ΜΙΣΗ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6554.png,ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΛΕΝΙΑ,"12,60 €|14,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/fysi-misi.html
ΦΕΓΓΑΡΙΑ ΠΑΙΔΙΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3547.jpg,ΠΑΠΑΔΑΤΟΣ Σ. ΓΙΑΝΝΗΣ,"10,71 €|11,90 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/feggaria-paidia.html
ΤΡΙΑ ΠΡΟΣΩΠΙΚΑ ΠΟΙΗΜΑΤΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3566.jpg,ΜΟΛΕΣΚΗΣ ΓΙΩΡΓΟΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/tria-prosopika-poiimata.html
ΛΥΚΟΣΚΥΛΑ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3567.jpg,ΚΑΙΜΑΚΛΙΩΤΗ ΑΓΓΕΛΑ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/lykoskyla.html
ΗΛΙΟΤΡΟΠΙΟ ΟΝΕΙΡΩΝ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3568.jpg,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΓΙΑΝΝΗΣ,"9,54 €|10,60 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/iliotropio-oneiron.html
ΛΑΤΡΕΥΤΕ ΕΠΑΝΑΣΤΑΤΗΜΕΝΕ ΕΡΩΤΑ ΜΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3569.jpg,HAUSNER BEATRIZ/ ΜΠΕΑΤΡΙΖ ΧΑΟΥΖΝΕΡ,"11,44 €|12,72 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/latreyte-epanastatimene-erota-moy.html
ΕΑΡ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3549.jpg,ΚΟΥΤΣΟΔΗΜΑΣ ΘΟΔΩΡΗΣ,"6,03 €|6,70 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/ear.html
ΔΕΛΤΙΑ ΑΠΟ ΤΗ ΜΑΥΡΟΝΗΣΟ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3531.jpg,NERUDA PABLO/ ΝΕΡΟΥΔΑ ΠΑΜΠΛΟ,"22,50 €|25,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/metafrasmeni-piisi-cat/deltia-apo-ti-mayroniso.html
ΠΟΙΗΣΗ1963-2011,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/_/1/_1963-2011.png,ΑΓΓΕΛΑΚΗ-ΡΟΥΚ ΚΑΤΕΡΙΝΑ,"22,51 €|25,01 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/poiisi1963-2011.html
ΤΑΡΑΗΛ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_3474_3.jpg,ΜΟΥΖΑΚΗΣ ΔΗΜΗΤΡΗΣ,"8,10 €|9,00 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/tarail.html
ΤΟ ΠΡΟΦΙΛ ΤΟΥ ΣΑΒΒΑΤΟΥ,https://www.greekbooks.gr/media/catalog/product/cache/92dd1f499898e969eebe46e2f755e65e/f/i/file_6495.png,ΜΑΚΡΥΝΙΩΤΗ ΔΗΜΗΤΡΑ,"7,63 €|8,48 €",https://www.greekbooks.gr/books/logotehnia-c-10/poiisi/elliniki-piisi-c/to-profil-toy-sabbatoy.html
